round,region,seed1,seed2,winner
1,East,1,16,1
1,East,2,15,2
1,East,3,14,3
1,East,4,13,4
1,East,5,12,12
1,East,6,11,6
1,East,7,10,7
1,East,8,9,8
1,South,1,16,1
1,South,2,15,2
1,South,3,14,3
1,South,4,13,13
1,South,5,12,5
1,South,6,11,11
1,South,7,10,10
1,South,8,9,9
1,West,1,16,1
1,West,2,15,2
1,West,3,14,3
1,West,4,13,13
1,West,5,12,5
1,West,6,11,6
1,West,7,10,10
1,West,8,9,8
1,Midwest,1,16,1
1,Midwest,2,15,2
1,Midwest,3,14,3
1,Midwest,4,13,4
1,Midwest,5,12,5
1,Midwest,6,11,11
1,Midwest,7,10,7
1,Midwest,8,9,9
2,East,1,8,1
2,East,2,7,2
2,East,3,6,6
2,East,4,12,4
2,South,1,9,1
2,South,2,10,10
2,South,3,11,3
2,South,5,13,5
2,West,1,8,1
2,West,2,10,2
2,West,3,6,3
2,West,5,13,5
2,Midwest,1,9,1
2,Midwest,2,7,7
2,Midwest,3,11,3
2,Midwest,4,5,5
3,East,1,4,1
3,East,2,6,2
3,South,1,5,5
3,South,3,10,3
3,West,1,5,1
3,West,2,3,3
3,Midwest,1,5,1
3,Midwest,3,7,3
4,East,1,2,2
4,South,3,5,3
4,West,1,3,3
4,Midwest,1,3,1
5,,2,3,2
5,,1,3,1
6,,1,2,1
